service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012020091420210610,1,1,1,1,1,1,1,20200914,20210610
0000000022020091420210610,1,1,1,1,1,1,0,20200914,20210610
0000000022020092120210610,1,1,1,1,1,1,0,20200921,20210610
0000000022020101220210610,1,1,1,1,1,1,0,20201012,20210610
0000000032020091420210610,1,1,1,1,1,1,0,20200914,20210610
0000000032020101220210610,1,1,1,1,1,1,0,20201012,20210610
0000000052020113020201205,0,0,0,0,0,0,1,20201130,20201205
0000000052020113020210610,0,0,0,0,0,0,1,20201130,20210610
0000000092020091420210610,1,1,1,1,1,0,0,20200914,20210610
0000000092020101220210610,1,1,1,1,1,0,0,20201012,20210610
0000000102020091420210610,1,1,1,1,1,0,0,20200914,20210610
0000000102020101220210610,1,1,1,1,1,0,0,20201012,20210610
0000000252020091420210610,0,0,0,0,0,1,0,20200914,20210610
0000000592020091420210610,1,1,1,1,1,1,0,20200914,20210610
0000000592020102120210610,1,1,1,1,1,1,0,20201021,20210610
0000000602020091420210610,1,1,1,1,1,1,0,20200914,20210610
0000000622020091420210610,0,0,0,0,0,0,1,20200914,20210610
0000000662020091420210610,1,1,1,1,1,0,0,20200914,20210610
0000000662020091520210610,1,1,1,1,1,0,0,20200915,20210610
0000000672020091420201201,1,1,1,1,1,0,0,20200914,20201201
0000000672020091420210610,1,1,1,1,1,0,0,20200914,20210610
0000000672020091520210611,1,1,1,1,1,0,0,20200915,20210611
0000000672020102120210610,1,1,1,1,1,0,0,20201021,20210610
0000000672020120220210610,1,1,1,1,1,0,0,20201202,20210610
0000000682020091420210610,1,1,1,1,0,0,0,20200914,20210610
0000000692020091420210610,0,0,0,0,1,0,0,20200914,20210610
0000000772020091420210610,0,0,0,0,0,1,0,20200914,20210610
0000000772020102120210610,0,0,0,0,0,1,0,20201021,20210610
0000000822020091420210610,0,0,0,0,0,1,0,20200914,20210610
0000001092020091420210610,1,1,1,1,1,1,0,20200914,20210610
0000001402020091420210610,1,1,1,1,1,1,1,20200914,20210610
0000001562020102120210610,1,0,1,1,0,0,0,20201021,20210610
0000001572020102120210610,0,1,0,0,1,0,0,20201021,20210610
